match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan
93829,Boston Breach,1,3,2,349,362,45447,0.9640883977900552,0.96,0.0725718035235908,1.06,0.27507163323782235,0.09999999999999998,2024-12-13 18:00:00+00:00,5,minor,0
93830,OpTic Texas,1,3,1,361,306,43943,1.1797385620915033,1.245,0.07416198487095671,1.31,0.2742382271468144,0.06499999999999995,2024-12-13 19:30:00+00:00,5,minor,0
93830,Vancouver Surge,0,1,3,305,362,39887,0.8425414364640884,0.7549999999999999,0.09882644720249063,0.86,0.2983606557377049,0.10499999999999998,2024-12-13 19:30:00+00:00,5,minor,0
93831,Toronto Ultra,1,3,0,219,205,28383,1.068292682926829,1.2,0.09556847457887636,1.33,0.3059360730593607,0.13000000000000012,2024-12-14 15:00:00+00:00,5,minor,0
93831,Vegas Falcons,0,0,3,204,219,27167,0.9315068493150684,0.7949999999999999,0.03872983346207417,0.85,0.25980392156862747,0.05499999999999994,2024-12-14 15:00:00+00:00,5,minor,0
93832,OpTic Texas,1,3,2,387,406,50757,0.9532019704433498,1.0375,0.1307351011269225,1.22,0.2842377260981912,0.18249999999999988,2024-12-14 16:30:00+00:00,5,minor,0
93832,LA Guerrillas M8,0,2,3,405,387,51713,1.0465116279069768,0.965,0.08426149773176358,1.09,0.2938271604938272,0.125,2024-12-14 16:30:00+00:00,5,minor,0
93833,Carolina Royal Ravens,1,3,0,248,203,31153,1.2216748768472907,1.33,0.09380831519646851,1.41,0.29435483870967744,0.07999999999999985,2024-12-14 18:00:00+00:00,5,minor,0
93833,Atlanta FaZe,0,0,3,203,248,27376,0.8185483870967742,0.6699999999999999,0.09201449161228177,0.74,0.26108374384236455,0.06999999999999995,2024-12-14 18:00:00+00:00,5,minor,0
93834,Boston Breach,1,3,2,344,327,42208,1.0519877675840978,1.0275,0.012583057392117894,1.04,0.26744186046511625,0.012499999999999956,2024-12-14 19:30:00+00:00,5,minor,0
93834,Vancouver Surge,0,2,3,326,346,43038,0.9421965317919077,0.9725,0.03947573094109004,1.02,0.25766871165644173,0.0475000000000001,2024-12-14 19:30:00+00:00,5,minor,0
93835,Toronto Ultra,1,3,2,371,346,48477,1.0722543352601157,1.21,0.018257418583505516,1.23,0.2857142857142857,0.020000000000000018,2024-12-15 15:00:00+00:00,5,minor,0
93835,Miami Heretics,0,2,3,346,371,46822,0.9326145552560648,0.79,0.029439202887759416,0.82,0.26011560693641617,0.029999999999999916,2024-12-15 15:00:00+00:00,5,minor,0
93836,Atlanta FaZe,1,3,1,327,276,40801,1.184782608695652,1.22,0.10519822558706342,1.33,0.2782874617737003,0.1100000000000001,2024-12-15 16:30:00+00:00,5,minor,0
93836,Vegas Falcons,0,1,3,276,327,36824,0.8440366972477065,0.7775,0.15261607604268518,0.98,0.31521739130434784,0.2025,2024-12-15 16:30:00+00:00,5,minor,0
93837,Carolina Royal Ravens,1,3,2,369,315,46199,1.1714285714285717,1.185,0.05446711546122727,1.24,0.2899728997289973,0.05499999999999994,2024-12-15 18:00:00+00:00,5,minor,0
93837,Cloud9 New York,0,2,3,315,370,42647,0.8513513513513513,0.8125,0.13047988350699888,0.95,0.30158730158730157,0.13749999999999996,2024-12-15 18:00:00+00:00,5,minor,0
93838,Los Angeles Thieves,1,3,1,389,388,48844,1.0025773195876289,0.965,0.10214368964029716,1.11,0.2827763496143959,0.14500000000000002,2024-12-15 19:30:00+00:00,5,minor,0
93838,Minnesota RØKKR,0,1,3,388,389,48327,0.9974293059125964,1.035,0.07325753658611964,1.14,0.2809278350515464,0.10499999999999998,2024-12-15 19:30:00+00:00,5,minor,0
93839,Minnesota RØKKR,1,3,2,328,299,41799,1.096989966555184,1.0725,0.040311288741492694,1.13,0.2652439024390244,0.057499999999999885,2025-01-10 15:00:00+00:00,5,major,1
93839,LA Guerrillas M8,0,2,3,299,328,38077,0.9115853658536586,0.9275,0.10404326023342406,1.03,0.28762541806020064,0.10250000000000004,2025-01-10 15:00:00+00:00,5,major,1
93840,Miami Heretics,0,1,3,270,302,36076,0.8940397350993378,0.8524999999999999,0.09708243919473805,0.94,0.27037037037037037,0.08749999999999991,2025-01-10 16:30:00+00:00,5,major,1
93840,Atlanta FaZe,1,3,1,302,270,38682,1.1185185185185185,1.1475,0.1024288370853963,1.24,0.2781456953642384,0.09250000000000003,2025-01-10 16:30:00+00:00,5,major,1
93841,OpTic Texas,1,3,0,244,217,31064,1.1244239631336406,1.1125,0.1577709309938516,1.27,0.28688524590163933,0.15749999999999997,2025-01-10 18:00:00+00:00,5,major,1
93841,Vegas Falcons,0,0,3,216,247,27786,0.8744939271255061,0.8875,0.10111874208078342,1.02,0.3425925925925926,0.13250000000000006,2025-01-10 18:00:00+00:00,5,major,1
93842,Vancouver Surge,0,0,3,198,239,25563,0.8284518828451883,0.775,0.07593857166596346,0.88,0.2777777777777778,0.10499999999999998,2025-01-10 19:30:00+00:00,5,major,1
93842,Cloud9 New York,1,3,0,239,199,28862,1.201005025125628,1.225,0.06403124237432851,1.28,0.29707112970711297,0.05499999999999994,2025-01-10 19:30:00+00:00,5,major,1
93843,Toronto Ultra,0,2,3,359,365,45124,0.9835616438356164,0.99,0.06976149845485449,1.08,0.2757660167130919,0.09000000000000008,2025-01-11 15:00:00+00:00,5,major,1
93843,Minnesota RØKKR,1,3,2,365,361,46030,1.0110803324099722,1.0125000000000002,0.1108677891304173,1.11,0.27945205479452057,0.09750000000000014,2025-01-11 15:00:00+00:00,5,major,1
93844,Boston Breach,0,2,3,339,352,44500,0.9630681818181818,1.0425,0.14728091073410243,1.17,0.2831858407079646,0.12749999999999995,2025-01-11 16:30:00+00:00,5,major,1
93844,OpTic Texas,1,3,2,351,339,44230,1.0353982300884956,0.9575,0.08220908303425686,1.03,0.2678062678062678,0.07250000000000001,2025-01-11 16:30:00+00:00,5,major,1
93845,Carolina Royal Ravens,1,3,2,373,367,47014,1.016348773841962,1.0575,0.09069178573608527,1.17,0.29222520107238603,0.11249999999999982,2025-01-11 18:00:00+00:00,5,major,1
93845,Cloud9 New York,0,2,3,367,373,46424,0.9839142091152816,0.945,0.0888819441731559,1.03,0.2561307901907357,0.08500000000000008,2025-01-11 18:00:00+00:00,5,major,1
93846,Los Angeles Thieves,0,1,3,329,360,42088,0.9138888888888888,0.9025,0.101447851956888,0.98,0.2765957446808511,0.07750000000000001,2025-01-11 19:30:00+00:00,5,major,1
93846,Atlanta FaZe,1,3,1,359,329,43723,1.0911854103343466,1.0975,0.08057087976847868,1.21,0.31197771587743733,0.11249999999999982,2025-01-11 19:30:00+00:00,5,major,1
93847,Minnesota RØKKR,0,2,3,392,403,50148,0.9727047146401984,0.975,0.08426149773176352,1.06,0.26785714285714285,0.08499999999999996,2025-01-12 15:00:00+00:00,5,major,1
93847,Atlanta FaZe,1,3,2,402,392,52082,1.0255102040816326,1.025,0.04434711565216695,1.06,0.2562189054726368,0.03500000000000014,2025-01-12 15:00:00+00:00,5,major,1
93848,OpTic Texas,0,2,3,415,374,50930,1.109625668449198,1.07,0.11460075625114058,1.15,0.26506024096385544,0.07999999999999985,2025-01-12 16:30:00+00:00,5,major,1
93848,Carolina Royal Ravens,1,3,2,374,415,49056,0.9012048192771084,0.93,0.04966554808583778,0.98,0.27807486631016043,0.050000000000000044,2025-01-12 16:30:00+00:00,5,major,1
93849,Atlanta FaZe,1,3,1,332,293,41413,1.1331058020477816,1.215,0.1526433752247375,1.36,0.2921686746987952,0.14500000000000002,2025-01-12 18:00:00+00:00,5,major,1
93849,Carolina Royal Ravens,0,1,3,293,332,37920,0.8825301204819277,0.7849999999999999,0.08812869377601523,0.91,0.25597269624573377,0.125,2025-01-12 18:00:00+00:00,5,major,1
93850,LA Guerrillas M8,1,3,0,249,239,31299,1.0418410041841004,1.05,0.1160459679035281,1.18,0.26506024096385544,0.1299999999999999,2025-01-17 15:00:00+00:00,5,minor,0
93850,Cloud9 New York,0,0,3,239,249,32531,0.9598393574297188,0.9475,0.06601767440112784,1.04,0.28870292887029286,0.09250000000000003,2025-01-17 15:00:00+00:00,5,minor,0
93851,Vegas Falcons,0,1,3,292,354,39838,0.8248587570621468,0.83,0.0627162924074226,0.9,0.2773972602739726,0.07000000000000006,2025-01-17 16:30:00+00:00,5,minor,0
93851,OpTic Texas,1,3,1,354,292,44390,1.2123287671232876,1.1725,0.11615363389350616,1.32,0.268361581920904,0.14749999999999996,2025-01-17 16:30:00+00:00,5,minor,0
93852,Minnesota RØKKR,0,2,3,349,366,44757,0.953551912568306,0.9325,0.140089257261219,1.09,0.30945558739255014,0.15750000000000008,2025-01-17 18:00:00+00:00,5,minor,0
