match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan,series_kills_roll,series_deaths_roll,series_damage_roll,series_kdr_roll,avg_bp_rtg_roll,bp_std_roll,bp_max_roll,top_kills_share_roll,bp_range_roll
93925,LA Guerrillas M8,1,3,0,201,184,26276,1.0923913043478262,1.2275,0.08460693430998047,1.33,0.2935323383084577,0.10250000000000004,2025-03-09T15:00:00+00:00,5,minor,0,246.8,265.4,32335.0,0.9267542066051441,0.9365,0.07786489481535994,1.018,0.28779070458013906,0.08149999999999999
93935,LA Guerrillas M8,0,1,3,340,349,43846,0.9742120343839542,0.9625,0.05315072906367323,1.02,0.27941176470588236,0.057499999999999996,2025-03-15T19:30:00+00:00,5,minor,0,246.0,262.4,32373.6,0.9325856244709458,0.9425000000000001,0.0726310352490402,1.022,0.2884404993817807,0.07949999999999999
93936,LA Guerrillas M8,0,1,3,263,312,34782,0.842948717948718,0.8075,0.1135414755350073,0.92,0.2813688212927757,0.11250000000000004,2025-03-16T15:00:00+00:00,5,minor,0,233.0,257.0,30679.2,0.9076650435769136,0.8965,0.08509237959008206,0.9879999999999999,0.2904459709574089,0.0915
93946,LA Guerrillas M8,0,0,3,168,220,21922,0.7636363636363637,0.695,0.04509249752822892,0.75,0.27976190476190477,0.05500000000000005,2025-03-21T18:00:00+00:00,5,major,1,224.2,252.4,29570.8,0.8859067195963674,0.8755000000000001,0.06431155024422516,0.9460000000000001,0.2831908047399786,0.07050000000000003
93961,LA Guerrillas M8,0,1,3,287,290,36653,0.9896551724137931,0.9975,0.07228416147400482,1.1,0.2857142857142857,0.10250000000000004,2025-04-05T16:30:00+00:00,5,minor,0,251.8,271.0,32695.8,0.9325687185461311,0.9380000000000001,0.07373515958217895,1.024,0.2839578229566612,0.08600000000000003
93968,LA Guerrillas M8,0,0,3,206,234,28971,0.8803418803418803,0.815,0.11958260743101395,0.91,0.27184466019417475,0.09500000000000008,2025-04-11T16:30:00+00:00,5,minor,0,252.8,281.0,33234.8,0.8901588337449418,0.8554999999999999,0.08073029420638564,0.9400000000000001,0.2796202873338047,0.08450000000000005
93972,LA Guerrillas M8,0,1,3,322,321,42049,1.0031152647975077,0.8674999999999999,0.09639329160614167,1.0,0.3105590062111801,0.13250000000000006,2025-04-12T18:00:00+00:00,5,minor,0,249.2,275.4,32875.4,0.8959394798276525,0.8365,0.08937880671487933,0.9359999999999999,0.2858497356348642,0.09950000000000006
93822,Los Angeles Thieves,1,3,1,342,281,41710,1.217081850533808,1.3125,0.075,1.39,0.30116959064327486,0.0774999999999999,2024-12-07T19:30:00+00:00,5,minor,0,342.0,281.0,41710.0,1.217081850533808,1.3125,0.075,1.39,0.30116959064327486,0.0774999999999999
93826,Los Angeles Thieves,1,3,2,384,365,49730,1.0520547945205478,1.1475000000000002,0.04499999999999994,1.2,0.28125,0.05249999999999999,2024-12-08T19:30:00+00:00,5,minor,0,363.0,323.0,45720.0,1.1345683225271779,1.23,0.05999999999999997,1.295,0.29120979532163743,0.06499999999999995
93827,Los Angeles Thieves,1,3,1,354,340,44674,1.0411764705882354,1.025,0.0932737905308881,1.14,0.2853107344632768,0.11499999999999999,2024-12-13T15:00:00+00:00,5,minor,0,360.0,328.6666666666667,45371.333333333336,1.103437705214197,1.1616666666666668,0.07109126351029602,1.2433333333333332,0.2892434417021839,0.08166666666666662
93838,Los Angeles Thieves,1,3,1,389,388,48844,1.0025773195876289,0.9650000000000001,0.10214368964029716,1.11,0.2827763496143959,0.14500000000000002,2024-12-15T19:30:00+00:00,5,minor,0,367.25,343.5,46239.5,1.078222608807555,1.1125,0.0788543700427963,1.21,0.2876266686802369,0.09749999999999998
93846,Los Angeles Thieves,0,1,3,329,360,42088,0.9138888888888889,0.9025000000000001,0.101447851956888,0.98,0.2765957446808511,0.07750000000000001,2025-01-11T19:30:00+00:00,5,major,1,359.6,346.8,45409.2,1.0453558648238217,1.0705,0.08337306642561464,1.1640000000000001,0.28542048388035973,0.09349999999999999
93857,Los Angeles Thieves,0,2,3,311,350,40283,0.8885714285714286,0.895,0.051961524227066326,0.94,0.26688102893890675,0.04499999999999993,2025-01-19T16:30:00+00:00,5,minor,0,353.4,360.6,45123.8,0.9796537804313459,0.9870000000000001,0.07876537127102791,1.074,0.2785627715394861,0.087
93860,Los Angeles Thieves,1,3,2,343,312,43575,1.0993589743589745,1.145,0.1040832999733066,1.23,0.282798833819242,0.08499999999999996,2025-01-24T16:30:00+00:00,5,minor,0,345.2,350.0,43892.8,0.9891146163990312,0.9865,0.09058203126568924,1.08,0.2788725383033345,0.09349999999999999
93865,Los Angeles Thieves,0,2,3,333,288,40628,1.15625,1.0675000000000001,0.07410578025138571,1.16,0.2672672672672673,0.09250000000000003,2025-01-26T15:00:00+00:00,5,minor,0,341.0,339.6,43083.6,1.012129322281384,0.9949999999999999,0.08674842920978876,1.084,0.2752638448641326,0.089
