match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg
93854,Cloud9 New York,0,2,3,352,332,44569,1.0602409638554218,1.0425
93854,Miami Heretics,1,3,2,331,352,41356,0.9403409090909091,0.96
93855,Boston Breach,1,3,1,387,349,47172,1.1088825214899714,1.135
93855,Carolina Royal Ravens,0,1,3,349,387,44262,0.9018087855297158,0.865
93856,LA Guerrillas M8,0,1,3,317,316,38602,1.0031645569620253,0.9824999999999999
93856,Toronto Ultra,1,3,1,316,318,40140,0.9937106918238994,1.0150000000000001
93857,Los Angeles Thieves,0,2,3,311,350,40283,0.8885714285714286,0.895
93857,OpTic Texas,1,3,2,349,311,43130,1.1221864951768488,1.1
93858,Minnesota RØKKR,0,1,3,265,319,35260,0.8307210031347962,0.7775
93858,Atlanta FaZe,1,3,1,319,265,39223,1.2037735849056603,1.22
93859,Carolina Royal Ravens,0,2,3,374,353,47323,1.0594900849858357,0.97
93859,Vancouver Surge,1,3,2,353,374,44242,0.9438502673796791,1.03
93860,Miami Heretics,0,2,3,312,343,40108,0.9096209912536443,0.855
93860,Los Angeles Thieves,1,3,2,343,312,43575,1.0993589743589745,1.145
93861,Boston Breach,0,0,3,199,239,25475,0.8326359832635983,0.74
93861,Atlanta FaZe,1,3,0,239,199,29387,1.2010050251256281,1.2625000000000002
93862,Vancouver Surge,1,3,2,454,460,56892,0.9869565217391304,1.05
93862,Minnesota RØKKR,0,2,3,460,454,58150,1.013215859030837,0.9525000000000001
93863,Vegas Falcons,0,0,3,209,244,27486,0.8565573770491803,0.7875
93863,LA Guerrillas M8,1,3,0,243,209,30706,1.1626794258373205,1.21
93864,Miami Heretics,0,2,3,340,352,44491,0.9659090909090909,1.02
93864,Carolina Royal Ravens,1,3,2,351,340,45478,1.0323529411764707,0.9825
93865,Boston Breach,1,3,2,288,333,37160,0.8648648648648649,0.9299999999999999
93865,Los Angeles Thieves,0,2,3,333,288,40628,1.15625,1.0675000000000001
93866,Atlanta FaZe,1,3,2,384,349,47515,1.1002865329512894,1.1475
93866,Cloud9 New York,0,2,3,349,384,45857,0.9088541666666666,0.85
93867,Toronto Ultra,0,1,3,332,378,42823,0.8783068783068783,0.855
93867,OpTic Texas,1,3,1,378,332,45710,1.1385542168674698,1.145
