match_id,player_name,team_name,kills,deaths,damage,bp_rtg
93859,Vivid,Carolina Royal Ravens,78,93,11229,0.84
93859,04,Vancouver Surge,104,91,11234,1.19
93859,Abuzah,Vancouver Surge,78,98,10780,0.89
93859,Hicksy,Vancouver Surge,91,96,11442,1.06
93859,Nastie,Vancouver Surge,80,89,10786,0.98
93860,Lucky,Miami Heretics,81,78,9995,0.94
93860,MettalZ,Miami Heretics,70,94,9301,0.7
93860,ReeaL,Miami Heretics,79,83,10475,0.93
93860,RenKoR,Miami Heretics,82,88,10337,0.85
93860,Envoy,Los Angeles Thieves,71,83,9114,1.0
93860,Ghosty,Los Angeles Thieves,97,79,11570,1.21
93860,HyDra,Los Angeles Thieves,85,81,10998,1.14
93860,Scrap,Los Angeles Thieves,90,69,11893,1.23
93861,Cammy,Boston Breach,53,56,6713,0.79
93861,Owakening,Boston Breach,44,60,6596,0.68
93861,Purj,Boston Breach,52,59,6443,0.77
93861,Snoopy,Boston Breach,50,64,5723,0.72
93861,aBeZy,Atlanta FaZe,46,57,6167,1.04
93861,Cellium,Atlanta FaZe,63,42,8281,1.36
93861,Drazah,Atlanta FaZe,64,53,7844,1.34
93861,Simp,Atlanta FaZe,66,47,7095,1.31
93862,04,Vancouver Surge,138,113,15722,1.22
93862,Abuzah,Vancouver Surge,108,115,14125,0.97
93862,Hicksy,Vancouver Surge,93,122,12446,0.9
93862,Nastie,Vancouver Surge,115,110,14599,1.11
93862,Estreal,Minnesota RØKKR,129,105,15626,1.11
93862,Gio,Minnesota RØKKR,121,98,13906,1.04
93862,Nero,Minnesota RØKKR,120,126,15001,0.9
93862,PaulEhx,Minnesota RØKKR,90,125,13617,0.76
93863,D7oomx,Vegas Falcons,62,57,8823,0.95
93863,Exnid,Vegas Falcons,48,66,5702,0.64
93863,KiinG,Vegas Falcons,58,64,7545,0.89
93863,Roxas,Vegas Falcons,41,57,5416,0.67
93863,KiSMET,LA Guerrillas M8,68,50,7842,1.37
93863,Lynz,LA Guerrillas M8,70,61,8392,1.18
93863,Priestahh,LA Guerrillas M8,58,51,7512,1.25
93863,Skyz,LA Guerrillas M8,47,47,6960,1.04
93864,Lucky,Miami Heretics,81,88,10694,0.98
93864,MettalZ,Miami Heretics,80,87,10372,0.93
93864,ReeaL,Miami Heretics,92,83,10988,1.13
93864,RenKoR,Miami Heretics,87,94,12437,1.04
93864,Gwinn,Carolina Royal Ravens,78,92,9921,0.89
93864,SlasheR,Carolina Royal Ravens,68,79,10062,0.95
